decile,mean_actual_usd,mean_pred_usd,mae_usd,count
0,1871.5463703703704,3848.271748148148,1976.7253777777778,27
1,3727.2746981481478,5888.902281481482,2161.627583333333,27
2,5225.316572222223,6998.392118518519,1773.0755462962961,27
3,7159.3368545769235,8186.963926923077,1269.9257122692304,26
4,9098.070524074075,10330.333222222222,1257.9960462962965,27
5,11105.454445925925,12005.541388888889,1546.8867903703704,27
6,13112.14807,13693.532269230769,1417.9545546153847,26
7,19098.063398888888,21280.419807407405,6600.098491481482,27
8,28246.481292222223,18539.62598888889,10836.470281111111,27
9,42552.20426185185,38328.30651851852,6563.711942592593,27
